Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,RepVotesMajorPercent,DemVotesMajorPercent
House,20001107,N/A,New Mexico,2,1,0,"274,017","299,841","13,656",47.75,52.25
House,20001107,N/A,New York,12,19,0,"2,465,640","3,189,626","168,584",43.60,56.40
House,20001107,N/A,North Carolina,7,5,0,"1,514,806","1,193,600","71,394",55.93,44.07
House,20001107,N/A,North Dakota,0,1,0,"127,251","151,173","7,234",45.70,54.30
House,20001107,N/A,Ohio,11,8,0,"2,203,086","2,067,441","247,311",51.59,48.41
House,20001107,N/A,Oklahoma,5,1,0,"701,820","336,955","48,740",67.56,32.44
House,20001107,N/A,Oregon,1,4,0,"607,098","790,365","42,539",43.44,56.56
House,20001107,N/A,Pennsylvania,11,10,0,"2,229,057","2,279,227","46,063",49.44,50.56
House,20001107,N/A,Rhode Island,0,2,0,"89,454","247,247","47,426",26.57,73.43
House,20001107,N/A,South Carolina,4,2,0,"729,799","525,398","66,115",58.14,41.86
House,20001107,N/A,South Dakota,1,0,0,"231,083","78,321","5,357",74.69,25.31
House,20001107,N/A,Tennessee,5,4,0,"991,984","819,100","43,294",54.77,45.23
House,20001107,N/A,Texas,13,17,0,"2,932,411","2,799,051","254,301",51.16,48.84
House,20001107,N/A,Utah,2,1,0,"426,648","304,797","27,309",58.33,41.67
House,20001107,N/A,Vermont,0,1,0,"51,977","196,118","25,673",77.70,22.30
House,20001107,N/A,Virginia,7,4,0,"1,275,311","1,060,484","85,934",54.60,45.40
House,20001107,N/A,Washington,3,6,0,"997,877","1,245,872","138,662",44.47,55.53
House,20001107,N/A,West Virginia,1,2,0,"108,769","420,784","50,319",20.54,79.46
House,20001107,N/A,Wisconsin,4,5,0,"1,311,447","1,187,866","7,001",52.47,47.53
House,20001107,N/A,Wyoming,1,0,0,"141,848","60,638","9,826",70.05,29.95
